Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,0.3,0.3,0.5759241,1.325308,3.450616,7.225924,8.651233,7.975925,5.450616,1.924692,0.6,0.3753081
1902,0.3,0.3,0.5506161,1.05,2.975308,7.325924,8.876541,7.525925,5.1,1.975308,0.6,0.35
1903,0.3,0.3,0.5759241,1.025308,3.750617,7.451232,10.22777,8.001233,5.275309,1.975308,0.6253081,0.35
1904,0.3,0.3,0.5759241,1.225308,3.025308,6.400616,8.801233,7.975925,5.1,1.875308,0.6253081,0.35
1905,0.3,0.3,0.5506161,1.05,3.3,6.625924,7.925925,7.875925,5.200001,1.85,0.6,0.35
1906,0.3,0.3,0.5506161,1.225308,3.550616,7.025924,8.976542,8.501233,5.650617,2.175308,0.6,0.35
1907,0.3,0.3,0.5506161,1.425308,3.550616,6.925924,9.176541,7.725925,5.450616,2.425924,0.6,0.35
1908,0.3,0.3,0.5506161,1.225308,3.825924,7.57654,9.877157,7.875925,5.950617,2.375308,0.6,0.35
1909,0.3,0.3,0.5506161,1.425308,3.650616,6.725924,9.651849,9.101849,5.350616,2.425924,0.6,0.35
1910,0.3,0.3,0.5506161,1.325308,3.375308,7.401232,8.976542,8.901849,5.450616,2.375308,0.6,0.35
1911,0.3,0.3,0.5506161,1.325308,3.150616,6.825924,9.527157,8.651849,5.025309,2.075308,0.6253081,0.35
1912,0.3,0.3,0.5506161,1.225308,3.550616,7.025924,8.301233,8.001233,5.150617,1.924692,0.6,0.35
1913,0.3,0.3,0.5506161,1.05,3.450616,6.800616,8.876541,8.626541,5.450616,1.975308,0.6,0.35
1914,0.3,0.3,0.5506161,1.125308,3.3,7.57654,10.17716,8.001233,5.801233,2.075308,0.6,0.35
1915,0.3,0.3,0.5759241,1.225308,3.925924,6.600616,8.501233,7.200617,5.200001,1.875308,0.6,0.35
1916,0.3,0.3,0.5506161,1.125308,3.3,6.825924,9.076541,8.726542,5.250617,2.475308,0.6,0.35
1917,0.3,0.3,0.5506161,1.325308,3.950616,7.525924,10.15247,8.976542,5.350616,1.924692,0.6,0.35
1918,0.3,0.3,0.5759241,1.225308,3.375308,7.025924,8.301233,8.201233,5.450616,2.275308,0.6,0.35
1919,0.3,0.3,0.5506161,1.425308,3.550616,7.025924,8.676541,8.826541,5.950617,2.275308,0.6,0.35
1920,0.3,0.3,0.5759241,1.750616,3.450616,6.625924,9.076541,8.626541,5.450616,1.975308,0.6,0.35
1921,0.3,0.3,0.5506161,1.125308,3.350616,7.025924,8.351233,8.401233,5.801233,2.075308,0.6,0.35
1922,0.3,0.3,0.5506161,1.05,3.250616,7.025924,8.501233,7.725925,5.200001,1.924692,0.6,0.3753081
1923,0.3,0.3,0.5759241,1.125308,3.225308,6.700616,8.351233,8.025925,5.200001,2.075308,0.6,0.35
1924,0.3,0.3,0.5506161,1.05,3.250616,6.825924,8.501233,8.301232,5.725924,2.075308,0.6253081,0.35
1925,0.3,0.3,0.5759241,1.125308,3.375308,6.600616,8.776542,7.775925,5.1,2.175308,0.6,0.35
1926,0.3,0.3,0.5506161,1.125308,3.825924,6.350616,9.801849,8.726542,5.650617,1.875308,0.6,0.35
1927,0.3,0.3,0.5506161,1.225308,3.925924,7.425924,9.427157,8.401233,5.750617,2.475308,0.6,0.35
1928,0.3,0.3,0.5759241,1.425308,3.350616,7.225924,8.976542,8.676541,5.275309,2.075308,0.6,0.35
1929,0.3,0.3,0.5506161,1.125308,3.825924,7.025924,9.251849,8.101233,4.601233,2.075308,0.5,0.35
1930,0.3,0.3,0.5506161,1.225308,2.750616,7.775925,8.976542,8.201233,5.550616,1.875308,0.7,0.35
1931,0.3,0.3,0.650616,1.025308,3.825924,7.525924,10.10185,8.550617,5.650617,2.475308,0.7,0.45
1932,0.3,0.4,0.5506161,1.225308,3.050617,7.225924,8.776542,8.850617,5.900001,2.375308,0.6,0.25
1933,0.3,0.3,0.5506161,1.025308,3.650616,7.025924,9.076541,8.526541,5.250617,2.375308,0.6,0.35
1934,0.3,0.3,0.5506161,1.025308,4.150617,7.425924,10.40246,8.601233,5.950617,2.275308,0.7,0.25
1935,0.3,0.3,0.5506161,1.325308,3.750617,7.025924,9.901849,8.575925,6.101233,2.075308,0.7,0.45
1936,0.2,0.3,0.4506161,1.225308,3.450616,7.525924,9.801233,8.601233,5.900001,2.275308,0.7,0.35
1937,0.3,0.4,0.5506161,1.1,3.7,6.925924,8.776542,9.050617,5.650617,2.5,0.8,0.45
1938,0.3,0.3,0.5506161,1.525308,2.650616,7.225924,9.676541,8.450617,6.1,2.175308,0.6,0.45
1939,0.2,0.3,0.5506161,0.925308,3.550616,6.951232,8.176541,8.501233,6.150617,2.550616,0.7,0.35
1940,0.6,0.5,0.8,1.6,4.2,7.6,10.2,8.250616,4.850616,1.975308,0.6,0.35
1941,0.3,0.3,0.4506161,1.225308,3.250616,6.225924,9.876541,8.601233,5.6,2.324692,0.5,0.45
1942,0.3,0.3,0.4506161,1.225308,3.5,6.875308,9.027157,8.226542,5.400001,2.275308,0.7,0.35
1943,0.3,0.3,0.8,1.450616,3.675925,7.375308,8.576541,8.250616,5.850617,2.375308,0.7,0.35
1944,0.3,0.3,0.650616,1.174692,4.300001,7.125924,8.727158,8.6,6.6,2.224692,0.7,0.45
1945,0.3,0.3,0.5506161,1.450616,4.675308,7.3,9.4,9.4,5.349385,2.624692,0.6506161,0.45
1946,0.3,0.2,0.4506161,1.125308,4.1,7.0,8.6,7.3,5.4,1.8,0.7,0.3
1947,0.3,0.6,0.6,1.5,3.2,7.3,8.7,8.001233,6.3,2.425924,0.7,0.35
1948,0.3,0.3506161,0.650616,1.425308,4.325309,7.0,7.4,7.8,4.6,2.325924,0.6506161,0.35
1949,0.3,0.3,0.650616,1.400616,3.6,6.4,8.5,7.4,6.0,2.7,0.5,0.6
1950,0.4,0.2,0.3,0.9,2.6,6.7,8.5,7.0,4.8,2.2,0.6,0.4
1951,0.2,0.4,0.8,1.2,3.8,8.1,9.4,8.2,5.9,2.3,0.6,0.5
1952,0.2,0.3,0.8,1.3,3.0,7.2,10.2,9.8,6.0,2.4,0.7,0.4
1953,0.4,0.3,0.8,1.3,3.8,7.9,9.2,9.1,6.0,2.6,0.9,0.3
