Year,January,February,March,April,May,June,July,August,September,October,November,December
1960,,0.2,0.5,1.1,3.6,7.6,11.0,7.5,4.7,1.3,0.6,0.2
1961,0.2,0.2,0.4,0.9,3.0,7.2,9.4,7.7,5.5,1.7,0.7,0.3
1962,0.2,0.2,0.5,1.4,3.7,6.6,7.8,7.4,4.0,1.8,0.6,0.2
1963,0.2,0.2,0.6,1.2,2.9,6.0,8.2,8.0,4.6,1.6,0.6,0.3
1964,0.1,0.6,0.4,1.0,3.0,7.5,7.3,7.8,4.2,1.8,0.3,0.3
1965,0.2,0.2,0.4,1.2,3.4,8.2,9.1,7.4,5.4,2.3,0.6,0.2
1966,0.1,0.2,0.4,1.2,4.1,7.8,9.7,8.3,5.5,1.6,0.6,0.4
1967,0.0,0.2,0.5,1.3,4.3,7.6,8.9,7.3,5.7,2.1,0.5,0.2
1968,0.4,0.7,0.6,1.6,4.2,7.0,9.2,8.2,5.5,2.0,0.3,0.2
1969,0.3,0.1,0.3,1.0,4.0,8.3,9.7,10.2,5.4,1.8,0.3,0.3
1970,0.2,0.3,0.5,1.0,3.7,7.8,10.5,7.0,5.9,2.0,0.4,0.4
1971,0.1,0.3,0.6,1.2,4.2,7.2,11.0,9.2,5.8,2.3,0.5,0.2
1972,0.2,0.2,0.4,1.4,4.4,5.6,9.7,7.0,4.8,2.7,0.4,0.2
1973,0.3,0.4,0.3,1.6,3.8,9.2,10.7,9.1,5.2,1.7,0.4,0.3
1974,0.2,0.2,0.4,1.3,3.8,7.7,11.1,9.0,5.0,1.7,0.4,0.3
1975,0.3,0.3,0.6,1.6,4.0,7.5,8.8,9.0,5.1,2.0,0.8,0.6
1976,0.2,0.2,0.5,1.6,3.7,6.7,9.4,7.5,5.2,1.2,0.3,0.2
1977,0.3,0.2,0.2,1.5,4.2,8.6,10.4,8.3,4.5,1.5,0.4,0.2
1978,0.1,0.3,0.6,1.3,3.2,7.9,8.4,9.1,5.1,2.0,0.7,0.3
1979,0.2,0.2,0.3,1.0,4.1,6.3,7.6,7.4,4.2,1.5,0.3,0.4
1980,0.3,0.4,0.5,1.1,4.8,7.2,9.3,9.6,6.1,2.0,0.3,0.3
1981,0.5,0.2,0.5,1.4,3.8,7.7,9.3,7.8,4.8,1.5,0.6,0.4
1982,0.2,0.3,0.3,1.7,2.8,6.4,9.5,8.0,5.9,1.8,0.3,0.2
1983,0.2,0.3,0.4,1.0,4.1,7.1,9.9,9.6,5.8,1.6,0.4,0.3
1984,0.3,0.1,0.3,1.4,3.6,6.7,9.0,7.5,4.1,1.9,0.6,0.2
1985,0.3,0.5,0.5,1.2,3.6,6.4,10.1,7.8,5.7,1.8,0.4,0.4
1986,0.2,0.3,0.4,1.3,3.4,8.0,8.0,7.8,4.9,2.1,0.4,0.2
1987,0.2,0.2,0.4,0.9,2.9,7.3,11.3,8.8,4.2,1.4,0.3,0.2
1988,0.2,0.3,0.5,1.5,4.1,7.8,12.2,8.0,5.6,2.0,0.4,0.4
1989,0.2,0.3,0.7,1.1,3.9,7.7,9.0,8.0,5.7,1.5,0.5,0.3
1990,0.2,0.4,1.1,1.7,4.6,7.1,8.2,8.2,4.5,1.9,0.4,0.2
1991,0.2,0.2,0.5,1.6,3.7,7.2,10.6,12.1,5.1,2.0,0.7,0.6
1992,0.2,0.2,0.6,1.3,3.5,6.7,9.3,6.9,4.8,1.4,0.3,0.3
1993,0.4,0.2,0.5,1.0,3.7,7.0,8.9,7.2,5.3,1.6,0.4,0.1
1994,0.2,0.5,0.4,0.9,4.7,7.3,8.5,7.2,5.6,1.9,,0.4
1995,,,0.4,0.9,3.9,8.4,10.2,9.3,5.8,1.9,0.7,0.3
1996,0.2,0.4,0.4,1.3,3.6,6.4,8.6,8.8,4.6,1.8,0.4,0.2
1997,0.3,0.3,0.4,1.5,3.1,8.4,10.7,9.8,5.3,2.1,0.4,0.1
1998,0.3,0.2,0.4,1.0,3.6,9.0,10.7,7.4,5.4,1.5,0.6,0.3
1999,0.3,0.2,0.3,1.0,,8.9,9.9,8.8,5.0,1.8,0.4,0.5
2000,0.4,0.6,0.5,1.6,4.4,8.6,11.5,8.5,5.2,1.9,0.3,0.3
2001,0.3,0.2,0.5,1.3,4.4,7.1,13.3,8.1,4.5,1.8,0.6,0.5
2002,0.2,0.2,0.6,1.2,3.9,9.0,10.8,10.5,5.1,1.9,0.7,0.3
2003,0.3,0.2,0.7,1.6,3.7,7.4,12.6,10.2,7.2,2.2,0.8,0.3
2004,0.2,0.2,0.5,1.2,3.9,6.7,9.3,9.0,6.0,1.1,0.5,0.3
2005,0.2,0.2,0.4,1.8,4.7,9.0,10.7,9.0,5.9,2.1,0.6,0.5
2006,0.3,0.4,0.5,0.9,4.1,7.6,10.3,10.3,6.1,1.9,0.9,0.5
2007,0.4,0.2,0.7,1.8,5.5,9.4,10.3,9.9,6.0,2.2,0.7,0.4
2008,0.3,0.3,0.8,1.3,5.2,7.4,9.7,11.5,5.4,2.5,0.7,0.3
2009,0.4,0.2,0.8,1.9,4.7,8.7,9.7,8.1,6.1,2.4,0.5,0.3
2010,0.3,0.2,0.4,1.5,5.8,8.6,13.3,8.9,5.1,1.6,0.7,0.3
2011,0.4,0.2,1.0,2.0,3.3,8.3,12.4,9.5,5.0,2.0,0.4,0.4
2012,0.3,0.3,0.4,1.5,4.8,8.2,9.5,8.5,5.2,2.1,0.8,0.4
2013,0.2,0.1,0.5,1.8,5.1,8.1,10.0,7.8,5.3,2.0,0.5,0.4
2014,0.2,0.4,0.6,1.9,3.9,7.9,10.0,10.8,5.6,2.1,0.3,0.2
2015,0.2,0.3,0.7,1.3,3.5,7.4,10.9,9.2,5.5,1.9,1.0,0.2
2016,0.5,0.3,0.6,1.6,4.6,7.8,8.7,8.3,6.3,3.1,0.9,0.3
2017,0.4,0.3,1.3,1.9,3.8,6.9,7.9,10.5,5.9,1.8,0.9,0.4
2018,0.2,0.5,0.4,1.9,4.0,7.2,9.7,8.5,6.0,2.9,0.5,0.3
2019,0.3,0.3,0.5,2.0,4.3,8.7,9.5,9.5,6.2,2.2,,
2020,,0.5,0.6,2.3,4.9,,10.7,7.8,6.9,2.9,0.9,
